Genre,Publisher
Action,Rockstar Games
Shooter,Activision
Shooter,Activision
Action-Adventure,Rockstar Games
Misc,Microsoft Studios
Shooter,Activision
Shooter,Electronic Arts
Role-Playing,Bethesda Softworks
Shooter,Microsoft Studios
Shooter,Activision
Shooter,Electronic Arts
Racing,Microsoft Studios
Sports,Electronic Arts
Shooter,Microsoft Studios
Action,Ubisoft
Shooter,Microsoft Studios
Shooter,Activision
Shooter,Microsoft Studios
Sports,EA Sports
Sports,EA Sports
Shooter,Electronic Arts
Shooter,Activision
Shooter,Blizzard Entertainment
Shooter,Ubisoft
Shooter,Ubisoft
Action,Ubisoft
Sports,EA Sports
Sports,EA Sports
Sports,2K Sports
Racing,Microsoft Studios
Shooter,Activision
Action,Ubisoft
Sports,EA Sports
Shooter,Microsoft Studios
Shooter,Electronic Arts
Sports,2K Sports
Racing,Microsoft Studios
Sports,2K Sports
Shooter,Electronic Arts
Sports,EA Sports
Role-Playing,Bethesda Softworks
Action,Ubisoft
Fighting,Warner Bros. Interactive Entertainment
Sports,2K Sports
Role-Playing,Namco Bandai Games
Shooter,Ubisoft
Action-Adventure,Ubisoft
Action,Microsoft Studios
Shooter,Ubisoft
Sports,EA Sports
Adventure,Square Enix
Action,Warner Bros. Interactive Entertainment
Racing,Microsoft Studios
Action,Warner Bros. Interactive Entertainment
Action,Microsoft Studios
Racing,Microsoft Studios
Shooter,Bethesda Softworks
Action,Ubisoft
Action,Warner Bros. Interactive Entertainment
Sports,505 Games
MMO,Bethesda Softworks
Shooter,Electronic Arts
Action,Ubisoft
Sports,EA Sports
Shooter,Activision
Shooter,Electronic Arts
Action,Microsoft Studios
Action,Warner Bros. Interactive Entertainment
Action,Warner Bros. Interactive Entertainment
Role-Playing,Square Enix
Action-Adventure,2K Games
Role-Playing,Blizzard Entertainment
Action-Adventure,Square Enix
Action-Adventure,Ubisoft
Role-Playing,Electronic Arts
Action-Adventure,Microsoft Studios
Sports,2K Sports
Action,Capcom
Fighting,Warner Bros. Interactive Entertainment
Action,Capcom
Action,Ubisoft
Action,Bethesda Softworks
Shooter,Electronic Arts
Sports,EA Sports
Action,Konami Digital Entertainment
Music,Activision
Role-Playing,Namco Bandai Games
Action,Warner Bros. Interactive Entertainment
Misc,Microsoft Studios
Role-Playing,Electronic Arts
Adventure,Mojang
Action,Gearbox Software
Action,Microsoft Studios
Shooter,Bethesda Softworks
Music,Harmonix Music Systems
Racing,Electronic Arts
Simulation,Electronic Arts
Racing,Electronic Arts
Action-Adventure,Microsoft Studios
Action,Warner Bros. Interactive Entertainment
Racing,Ubisoft
Shooter,Electronic Arts
Racing,Electronic Arts
Shooter,Bethesda Softworks
Misc,Bethesda Softworks
Misc,Warner Bros. Interactive Entertainment
Shooter,2K Games
Shooter,2K Games
Sports,2K Sports
Action-Adventure,Square Enix
Action-Adventure,Warner Bros. Interactive Entertainment
Sports,Take-Two Interactive
Sports,Microsoft Studios
Role-Playing,Ubisoft
Sports,2K Sports
