source,target,weight
Rockstar Games,Sega,1
Rockstar Games,Nordic Games,2
Rockstar Games,Maximum Games,1
Rockstar Games,Insomniac Games,1
Rockstar Games,Moss,1
Rockstar Games,Bandai Namco Entertainment,1
Rockstar Games,Mojang,1
Rockstar Games,Microsoft Studios,3
Rockstar Games,Grey Box,1
Rockstar Games,Little Orbit,1
Rockstar Games,Koei Tecmo,1
Rockstar Games,Konami Digital Entertainment,2
Rockstar Games,Snail Game,1
Rockstar Games,Activision,3
Rockstar Games,Ubisoft,2
Rockstar Games,Namco Bandai Games,1
Rockstar Games,Microids,1
Rockstar Games,BioWare,1
Rockstar Games,Bethesda Softworks,1
Rockstar Games,Versus Evil,1
Rockstar Games,Focus Home Interactive,2
Rockstar Games,2K Games,1
Rockstar Games,Kalypso Media,2
Rockstar Games,Revolution Software,1
Rockstar Games,Ice-pick Lodge,1
Rockstar Games,Warner Bros. Interactive Entertainment,3
Rockstar Games,THQ Nordic,3
Rockstar Games,Studio Wildcard,1
Rockstar Games,Electronic Arts,1
Rockstar Games,Sold Out,1
Rockstar Games,Koch Media,1
Rockstar Games,Ready at Dawn,1
Rockstar Games,Games Workshop,1
Rockstar Games,Team17 Software,1
Rockstar Games,Bigben Interactive,1
Rockstar Games,Wired Productions,1
Rockstar Games,PlatinumGames,1
Rockstar Games,Tecmo Koei,1
Rockstar Games,Square Enix,3
Rockstar Games,505 Games,2
Rockstar Games,Deep Silver,1
Rockstar Games,Gearbox Software,2
Rockstar Games,Soedesco,2
Rockstar Games,Telltale Games,2
Rockstar Games,GameTrust,1
Rockstar Games,Disney Interactive Studios,2
Rockstar Games,Capcom,2
Rockstar Games,Stainless Games,1
Rockstar Games,Outright Games,1
Rockstar Games,Bandai Namco Games,1
Rockstar Games,Unknown,2
Rockstar Games,Gun Media,1
Rockstar Games,11 bit studios,1
Activision,Sega,3
Activision,Triangle Service,1
Activision,Level 5,1
Activision,Nordic Games,3
Activision,Maximum Games,3
Activision,Rebellion Developments,1
Activision,5pb,1
Activision,Grey Box,1
Activision,Little Orbit,1
Activision,Microids,1
Activision,Tripwire Interactive,1
Activision,Bethesda Softworks,3
Activision,Majesco Entertainment,1
Activision,Ice-pick Lodge,1
Activision,Kalypso Media,3
Activision,Devolver Digital,1
Activision,Harmonix Music Systems,1
Activision,Nighthawk Interactive,1
Activision,Ravenscourt,1
Activision,Alternative Software,1
Activision,Studio Wildcard,1
Activision,Sold Out,2
Activision,Team17 Software,1
Activision,Ready at Dawn,1
Activision,Games Workshop,1
Activision,Wired Productions,1
Activision,Tecmo Koei,1
Activision,Square Enix,4
Activision,Astragon,1
Activision,Take-Two Interactive,1
Activision,Atari,1
Activision,GameTrust,1
Activision,Capcom,4
Activision,Stainless Games,2
Activision,Bandai Namco Games,2
Activision,Gun Media,1
Activision,2K Sports,1
Activision,Rebellion,1
Activision,Insomniac Games,1
Activision,Moss,1
Activision,Bandai Namco Entertainment,1
Activision,Mojang,1
Activision,Renegade Kid,1
Activision,Microsoft Studios,7
Activision,Tru Blu Entertainment,1
Activision,GameMill Entertainment,1
Activision,Wizards of the Coast,1
Activision,Koei Tecmo,1
Activision,Yacht Club Games,1
Activision,Konami Digital Entertainment,3
Activision,Snail Game,1
Activision,Ubisoft,8
Activision,Namco Bandai Games,2
Activision,GameMill,1
Activision,BioWare,1
Activision,Versus Evil,1
Activision,City Interactive,1
Activision,Focus Home Interactive,5
Activision,2K Games,3
Activision,Revolution Software,1
Activision,Microsoft Game Studios,2
Activision,Warner Bros. Interactive Entertainment,5
Activision,THQ Nordic,5
Activision,Electronic Arts,4
Activision,Koch Media,3
Activision,Bigben Interactive,3
Activision,PlatinumGames,1
Activision,EA Sports,1
Activision,505 Games,5
Activision,Deep Silver,3
Activision,Gearbox Software,3
Activision,Soedesco,3
Activision,Telltale Games,3
Activision,Disney Interactive Studios,3
Activision,Big Ben Interactive,1
Activision,Outright Games,1
Activision,Blizzard Entertainment,1
Activision,MLB.com,2
Activision,Unknown,3
Activision,11 bit studios,1
Microsoft Studios,Sega,2
Microsoft Studios,Triangle Service,1
Microsoft Studios,Level 5,1
Microsoft Studios,Nordic Games,4
Microsoft Studios,Paradox InteractiveÊ,1
Microsoft Studios,Maximum Games,4
Microsoft Studios,Rebellion Developments,1
Microsoft Studios,Milestone,1
Microsoft Studios,5pb,1
Microsoft Studios,Grey Box,1
Microsoft Studios,Little Orbit,1
Microsoft Studios,UIG Entertainment,2
Microsoft Studios,Microids,1
Microsoft Studios,Tripwire Interactive,1
Microsoft Studios,Bethesda Softworks,4
Microsoft Studios,Majesco Entertainment,1
Microsoft Studios,Ice-pick Lodge,1
Microsoft Studios,Kalypso Media,4
Microsoft Studios,Experience Inc.,1
Microsoft Studios,Devolver Digital,1
Microsoft Studios,Nighthawk Interactive,1
Microsoft Studios,Ravenscourt,1
Microsoft Studios,Alternative Software,1
Microsoft Studios,Studio Wildcard,1
Microsoft Studios,Sold Out,3
Microsoft Studios,Team17 Software,1
Microsoft Studios,Ready at Dawn,1
Microsoft Studios,Games Workshop,1
Microsoft Studios,Wired Productions,1
Microsoft Studios,Introversion Software,1
Microsoft Studios,Tecmo Koei,2
Microsoft Studios,Square Enix,5
Microsoft Studios,TopWare Interactive,1
Microsoft Studios,Astragon,1
Microsoft Studios,Take-Two Interactive,1
Microsoft Studios,Atari,1
Microsoft Studios,GameTrust,1
Microsoft Studios,Capcom,6
Microsoft Studios,Stainless Games,2
Microsoft Studios,Bandai Namco Games,3
Microsoft Studios,Gun Media,1
Microsoft Studios,2K Sports,1
Microsoft Studios,Rebellion,1
Microsoft Studios,Sinxsoft,1
Microsoft Studios,Insomniac Games,1
Microsoft Studios,Codemasters,1
Microsoft Studios,Moss,1
Microsoft Studios,Mojang,1
